Date,Time (LST),Highest,MHHW (m),MHW (m),MSL (m),MTL (m),MLW (m),MLLW (m),Lowest (m),Inf
2013/01/01,00:00,1.428,1.04,0.952,-0.064,-0.109,-1.17,-1.254,-1.634,0
2013/02/01,00:00,1.456,0.981,0.889,-0.135,-0.173,-1.235,-1.315,-1.676,0
2013/03/01,00:00,1.536,1.073,0.994,-0.054,-0.1,-1.195,-1.253,-1.705,0
2013/04/01,00:00,1.52,1.158,1.057,0.018,-0.034,-1.125,-1.19,-1.508,0
2013/05/01,00:00,1.595,1.202,1.092,0.05,-0.007,-1.106,-1.157,-1.583,0
2013/06/01,00:00,1.638,1.114,0.985,-0.064,-0.115,-1.215,-1.29,-1.609,0
2013/07/01,00:00,1.566,1.145,1.025,-0.027,-0.074,-1.174,-1.226,-1.827,0
2013/08/01,00:00,1.621,1.221,1.126,0.099,0.053,-1.021,-1.095,-1.451,0
2013/09/01,00:00,1.598,1.245,1.17,0.178,0.124,-0.921,-0.969,-1.31,0
2013/10/01,00:00,1.592,1.252,1.191,0.214,0.161,-0.869,-0.912,-1.18,0
2013/11/01,00:00,1.589,1.222,1.109,0.112,0.066,-0.976,-1.043,-1.45,0
2013/12/01,00:00,1.548,1.113,1.009,-0.034,-0.079,-1.168,-1.229,-1.622,0
2014/01/01,00:00,1.571,1.092,0.979,-0.099,-0.138,-1.255,-1.345,-2.202,0
2014/02/01,00:00,1.569,1.134,1.049,0.003,-0.045,-1.14,-1.203,-1.702,0
2014/03/01,00:00,1.673,1.177,1.1,0.024,-0.023,-1.146,-1.223,-1.837,0
2014/04/01,00:00,1.579,1.203,1.103,0.058,0.009,-1.084,-1.14,-1.529,0
2014/05/01,00:00,1.526,1.2,1.075,0.02,-0.033,-1.14,-1.198,-1.673,0
2014/08/01,00:00,1.596,1.243,1.144,0.139,0.078,-0.988,-1.056,-1.637,0
2014/09/01,00:00,1.542,1.319,1.233,0.24,0.181,-0.872,-0.912,-1.448,0
2014/10/01,00:00,1.5,1.192,1.121,0.112,0.053,-1.014,-1.055,-1.55,0
2014/11/01,00:00,1.414,1.162,1.067,0.056,0.002,-1.064,-1.134,-1.634,0
2014/12/01,00:00,1.569,1.195,1.086,0.056,0.01,-1.066,-1.138,-1.648,0
2015/01/01,00:00,1.497,1.138,1.016,-0.012,-0.057,-1.13,-1.221,-1.754,0
2015/02/01,00:00,1.444,1.13,1.037,0.003,-0.045,-1.127,-1.226,-1.853,0
2015/03/01,00:00,1.643,1.093,1.007,-0.024,-0.068,-1.143,-1.201,-1.535,0
2015/04/01,00:00,1.526,1.12,1.029,-0.008,-0.06,-1.15,-1.206,-1.641,0
2015/05/01,00:00,1.491,1.199,1.077,0.048,-0.004,-1.085,-1.144,-1.607,0
2015/06/01,00:00,1.394,1.116,0.968,-0.074,-0.125,-1.217,-1.28,-1.639,0
2015/07/01,00:00,1.533,1.191,1.062,0.009,-0.046,-1.155,-1.232,-1.636,0
2015/08/01,00:00,1.66,1.219,1.126,0.074,0.018,-1.09,-1.154,-1.54,0
2015/09/01,00:00,1.756,1.248,1.189,0.173,0.117,-0.955,-0.997,-1.521,0
2015/10/01,00:00,1.943,1.396,1.316,0.316,0.257,-0.802,-0.857,-1.408,0
2015/11/01,00:00,1.656,1.284,1.19,0.186,0.132,-0.927,-0.976,-1.426,0
2015/12/01,00:00,1.459,1.242,1.144,0.125,0.068,-1.008,-1.069,-1.532,0
2016/01/01,00:00,1.534,1.167,1.063,0.051,0.006,-1.051,-1.126,-1.632,0
2016/02/01,00:00,1.529,1.095,1.019,-0.029,-0.075,-1.17,-1.248,-1.832,0
2016/03/01,00:00,1.505,1.107,1.042,0.009,-0.046,-1.135,-1.197,-1.782,0
2016/04/01,00:00,1.514,1.233,1.124,0.092,0.032,-1.06,-1.115,-1.871,0
2016/05/01,00:00,1.72,1.22,1.109,0.055,0.003,-1.103,-1.158,-1.627,0
2016/06/01,00:00,1.71,1.327,1.192,0.134,0.082,-1.029,-1.11,-1.48,0
2016/07/01,00:00,1.546,1.152,1.014,-0.063,-0.116,-1.247,-1.337,-1.615,0
2016/08/01,00:00,1.444,1.16,1.061,0.028,-0.032,-1.124,-1.18,-1.553,0
2016/09/01,00:00,1.543,1.191,1.114,0.1,0.046,-1.023,-1.083,-1.575,0
2016/10/01,00:00,2.559,1.404,1.301,0.299,0.243,-0.815,-0.88,-1.317,0
2016/11/01,00:00,1.829,1.279,1.175,0.175,0.123,-0.93,-0.998,-1.495,0
2016/12/01,00:00,1.65,1.175,1.061,0.033,-0.014,-1.088,-1.162,-1.73,0
2017/01/01,00:00,1.533,1.038,0.936,-0.122,-0.171,-1.279,-1.359,-1.753,0
2017/02/01,00:00,1.253,1.028,0.949,-0.097,-0.145,-1.239,-1.302,-1.886,0
2017/03/01,00:00,1.576,1.039,0.96,-0.1,-0.153,-1.267,-1.337,-1.714,0
2017/04/01,00:00,1.637,1.194,1.088,0.021,-0.034,-1.156,-1.214,-1.606,0
2017/05/01,00:00,1.507,1.143,1.013,-0.052,-0.115,-1.243,-1.307,-1.972,0
2017/06/01,00:00,1.559,1.19,1.071,0.034,-0.023,-1.117,-1.179,-1.746,0
2017/07/01,00:00,1.612,1.139,1.015,-0.03,-0.082,-1.179,-1.238,-1.68,0
2017/08/01,00:00,1.526,1.221,1.108,0.105,0.054,-1,-1.069,-1.516,0
2017/09/01,00:00,2.481,1.376,1.281,0.299,0.244,-0.793,-0.851,-1.317,0
2017/10/01,00:00,1.528,1.248,1.164,0.203,0.148,-0.868,-0.918,-1.252,0
2017/11/01,00:00,1.62,1.196,1.105,0.108,0.062,-0.981,-1.033,-1.449,0
2017/12/01,00:00,1.733,1.124,1.006,-0.045,-0.087,-1.18,-1.254,-1.689,0
2018/01/01,00:00,1.727,1.055,0.928,-0.141,-0.185,-1.298,-1.359,-1.713,0
2018/02/01,00:00,1.604,1.044,0.959,-0.087,-0.127,-1.213,-1.282,-1.685,0
2018/03/01,00:00,1.432,1.167,1.083,0.037,-0.014,-1.112,-1.177,-1.789,0
2018/04/01,00:00,1.383,1.094,0.992,-0.043,-0.091,-1.174,-1.23,-1.859,0
2018/05/01,00:00,1.474,1.132,1.001,-0.041,-0.088,-1.177,-1.227,-1.504,0
2018/06/01,00:00,1.545,1.146,1.009,-0.053,-0.099,-1.207,-1.265,-1.668,0
2018/07/01,00:00,1.676,1.203,1.067,0.053,0,-1.067,-1.133,-1.607,0
2018/08/01,00:00,1.569,1.158,1.046,-0.005,-0.056,-1.158,-1.219,-1.722,0
2018/09/01,00:00,1.64,1.242,1.144,0.139,0.086,-0.972,-1.035,-1.407,0
2018/10/01,00:00,1.564,1.203,1.113,0.13,0.075,-0.964,-1.04,-1.525,0
2018/11/01,00:00,1.89,1.281,1.159,0.157,0.102,-0.955,-1.018,-1.372,0
2018/12/01,00:00,1.695,1.212,1.093,0.058,0.006,-1.081,-1.159,-1.974,0
2019/01/01,00:00,1.567,1.105,1.006,-0.035,-0.078,-1.162,-1.25,-1.898,0
2019/02/01,00:00,1.78,1.218,1.12,0.08,0.035,-1.051,-1.127,-1.613,0
2019/03/01,00:00,1.637,1.213,1.118,0.11,0.058,-1.003,-1.074,-1.655,0
2019/04/01,00:00,1.536,1.163,1.069,0.047,0,-1.069,-1.145,-1.741,0
2019/05/01,00:00,1.558,1.241,1.102,0.083,0.027,-1.048,-1.108,-1.474,0
2019/06/01,00:00,1.597,1.246,1.089,0.072,0.021,-1.047,-1.113,-1.311,0
2019/07/01,00:00,1.652,1.272,1.122,0.107,0.047,-1.029,-1.103,-1.413,0
2019/08/01,00:00,1.827,1.271,1.157,0.124,0.067,-1.023,-1.078,-1.271,0
2019/09/01,00:00,1.794,1.334,1.243,0.249,0.198,-0.847,-0.908,-1.298,0
2019/10/01,00:00,1.646,1.34,1.258,0.278,0.221,-0.816,-0.865,-1.442,0
2019/11/01,00:00,1.65,1.338,1.222,0.247,0.196,-0.831,-0.886,-1.553,0
2019/12/01,00:00,1.625,1.157,1.039,0.055,0.004,-1.032,-1.087,-1.419,0
2020/01/01,00:00,1.506,1.1,0.981,-0.023,-0.064,-1.11,-1.203,-1.641,0
2020/02/01,00:00,1.473,1.117,1.021,-0.008,-0.054,-1.129,-1.198,-1.853,0
2020/03/01,00:00,1.464,1.128,1.041,0.021,-0.026,-1.093,-1.172,-1.751,0
2020/04/01,00:00,1.653,1.209,1.099,0.076,0.017,-1.066,-1.131,-1.615,0
2020/05/01,00:00,1.612,1.227,1.103,0.061,0.009,-1.086,-1.147,-1.761,0
2020/06/01,00:00,1.55,1.265,1.135,0.1,0.052,-1.031,-1.101,-1.573,0
2020/07/01,00:00,1.567,1.254,1.11,0.084,0.03,-1.051,-1.118,-1.384,0
2020/08/01,00:00,1.571,1.25,1.123,0.106,0.054,-1.016,-1.077,-1.38,0
2020/09/01,00:00,1.78,1.337,1.23,0.274,0.222,-0.787,-0.842,-1.356,0
2020/10/01,00:00,1.793,1.337,1.24,0.285,0.23,-0.781,-0.829,-1.332,0
2020/11/01,00:00,1.786,1.297,1.183,0.215,0.163,-0.857,-0.929,-1.372,0
