date,site,plot,vegplot_area_cm2,LAI,chlorophyll,brown,junc_live_cover,spal_live_cover,dead_cover,bare_cover,avg_thatch_ht_cm,water_depth_cm,spal_tot_live_stem_ht_cm,spal_live_stem_count,junc_tot_live_stem_ht_cm,junc_live_stem_count,notes
05-03-2016,skida,sk1,2500,0.64,31.4,no,5,75,5,15,0,1,726,18,1517.75,26,
05-03-2016,skida,sk2,2500,1.84,35.7,no,2,83,5,10,24,0,1706,24,151,2,
05-03-2016,skida,sk3,2500,0.36,33.5,no,0,65,3,32,0,1.5,1555,52,0,0,
05-03-2016,skida,sk4,2500,0.56,34.5,no,0,55,10,35,0,2,1367,34,0,0,
05-03-2016,skida,sk5,2500,0.34,34.1,no,0,35,15,50,0,3,833,25,0,0,
05-03-2016,skida,sk6,2500,0.42,36,no,0,45,10,45,0,0.2,857,24,0,0,
05-03-2016,skida,sk7,2500,0.82,38.8,no,0,40,5,55,0,0.5,898,15,0,0,
05-03-2016,skida,sk8,2500,0.53,40.8,no,0,35,5,60,0,0.5,840,14,0,0,
05-03-2016,skida,sk9,2500,0.83,37.2,no,0,40,10,50,0,2,1027,18,0,0,
05-04-2016,fluxb,fb1,2500,1.12,37.3,no,0,25,15,60,0,0,890,20,0,0,
05-04-2016,fluxb,fb2,2500,2.21,44,no,0,40,20,40,0,0,1010,30,0,0,
05-04-2016,fluxb,fb3,2500,0.51,43.3,no,0,30,15,55,0,0,869,23,0,0,
05-04-2016,fluxb,fb4,2500,0.2,37.5,no,0,30,10,60,0,3,974,23,0,0,
05-04-2016,fluxb,fb5,2500,0.66,39,no,0,35,10,55,0,2,645,20,0,0,
05-04-2016,fluxb,fb6,2500,0.3,36.3,no,0,50,20,30,0,0,1150,36,0,0,
05-04-2016,fluxb,fb7,625,0.99,40.6,no,0,30,10,60,0,0,599,12,0,0,
05-04-2016,fluxb,fb8,2500,0.28,41.3,no,0,50,40,10,0,0,1156,38,0,0,
05-04-2016,fluxb,fb9,2500,0.31,41.3,no,0,25,5,70,0,1,842,28,0,0,
05-04-2016,fluxa,m1,625,0.4,45.075,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,m2,625,0.56,43.7,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,m3,625,0.77,40.4666666667,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,m4,625,0.48,43.0333333333,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,m5,625,0.35,44.2,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,m6,625,0.49,43.9,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,s1,625,0.44,50.8,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,s2,625,0.31,46.3,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,s3,625,0.58,51.3,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,s4,625,0.21,45.2,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,s5,625,0.34,41.1,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,s6,625,0.35,47.5,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,t1,2500,2.45,38.0666666667,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,t2,2500,2.32,39.25,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,t3,2500,1.01,39.6333333333,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,t4,2500,2.31,34.9666666667,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,t5,2500,1.2,44.4,no,0,,,,0,0,,,0,0,
05-04-2016,fluxa,t6,2500,1.45,38.3666666667,no,0,,,,0,0,,,0,0,
05-05-2016,ugami,ug1,625,0.64,42.5,no,0,50,15,35,0,0,608,17,0,0,
05-05-2016,ugami,ug2,625,1.67,40.7,no,0,50,40,10,0,0,505,9,0,0,
05-05-2016,ugami,ug3,625,0.9,39.1,no,0,65,35,0,0,0,573,18,0,0,
05-05-2016,ugami,ug4,625,0.48,43.4,no,0,60,20,20,0,0,620,19,0,0,
05-05-2016,ugami,ug5,625,1.01,40.1,no,0,20,10,75,0,0,322,9,0,0,
05-05-2016,ugami,ug6,625,1.35,44.1,no,0,55,5,40,0,0,806,21,0,0,
05-05-2016,ugami,ug7,625,1.51,40.5,no,0,60,5,35,0,0,1190,24,0,0,
05-05-2016,ugami,ug8,625,0.88,44.2,no,0,80,15,5,0,0,990,18,0,0,
05-05-2016,ugami,ug9,625,1.01,43.8,no,0,60,10,30,0,0,746,20,0,0,
07-18-2016,skida,sk1,625,0.5,33,no,5,70,4,26,0,0,576,17,0,0,
07-18-2016,skida,sk2,2500,1.33,29.4,no,5,78,12,5,0,0,1089,16,284,4,
07-18-2016,skida,sk3,625,0.25,34.3,no,0,60,10,30,0,0,657,22,0,0,
07-18-2016,skida,sk4,625,0.52,32.4,no,0,55,5,40,0,0,569,13,0,0,
07-18-2016,skida,sk5,625,0.12,34.6,no,0,45,5,50,0,0,375,10,0,0,
07-18-2016,skida,sk6,625,0.4,31,no,0,60,15,25,0,0,375,10,0,0,
07-18-2016,skida,sk7,2500,0.45,35.8,no,0,55,15,30,0,0,896,13,0,0,
07-18-2016,skida,sk8,2500,0.45,35.3,no,0,55,15,30,0,0,715,11,0,0,
07-18-2016,skida,sk9,2500,0.65,40.2,no,0,45,10,45,0,0,1000,16,0,0,
07-13-2016,fluxb,fb1,625,0.85,31.9,no,0,30,10,60,0,0,300,6,0,0,
07-13-2016,fluxb,fb2,625,0.71,34,no,0,35,5,60,0,0,312,6,0,0,
07-13-2016,fluxb,fb3,625,0.47,35.5,no,0,15,15,70,0,0,323,7,0,0,
07-13-2016,fluxb,fb4,625,0.44,33.7,no,0,10,15,75,0,0,147,4,0,0,
07-13-2016,fluxb,fb5,625,0.37,33.6,no,0,15,5,80,0,0,222,7,0,0,
07-13-2016,fluxb,fb6,625,0.38,32,no,0,30,10,60,0,0,395,7,0,0,
07-13-2016,fluxb,fb7,625,1.3,30,no,0,20,30,50,0,0,224,4,0,0,
07-13-2016,fluxb,fb8,625,0.6,26.9,no,0,5,15,80,0,0,175,3,0,0,
07-13-2016,fluxb,fb9,625,0.53,32.9,no,0,70,0,30,0,0,830,20,0,0,
07-12-2016,fluxa,m1,625,0.69,32.8,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,m2,625,0.7,31.5,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,m3,625,0.66,25.5,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,m4,625,0.53,28.5,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,m5,625,0.66,29.9,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,m6,625,0.62,29.1,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,s1,625,0.89,33.7,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,s2,625,0.73,29.1,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,s3,625,0.82,42.5,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,s4,625,0.36,32.4,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,s5,625,0.46,30.1,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,s6,625,0.38,42.1,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,t1,2500,2.27,31,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,t2,2500,3.22,19.8,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,t3,2500,3.42,21,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,t4,2500,2.83,28.5,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,t5,2500,2.58,26.4,no,0,,,,0,0,,,0,0,
07-12-2016,fluxa,t6,2500,1.33,30.9,no,0,,,,0,0,,,0,0,
07-14-2016,ugami,ug1,625,0.76,33.2,no,0,65,5,30,0,0,612,13,0,0,
07-14-2016,ugami,ug2,625,1.28,32.1,no,0,56,4,40,0,0,406,7,0,0,
07-14-2016,ugami,ug3,625,0.9,32.7,no,0,49,1,50,0,0,377,14,0,0,
07-14-2016,ugami,ug4,625,0.72,30.7,no,0,15,5,80,0,0,201,7,0,0,
07-14-2016,ugami,ug5,625,0.64,37.7,no,0,35,5,60,0,0,200,6,0,0,
07-14-2016,ugami,ug6,625,1.03,40.9,no,0,28,2,70,0,0,363,7,0,0,
07-14-2016,ugami,ug7,625,1.58,38.2,no,0,64,6,30,0,0,608,9,0,0,
07-14-2016,ugami,ug8,625,1.23,36.9,no,0,15,5,80,0,0,443,9,0,0,
07-14-2016,ugami,ug9,625,0.87,40.6,no,0,67,3,30,0,0,346,8,0,0,
08-16-2016,skida,sk1,625,0.37,28,no,0,65,5,30,0,0,461.5,16,0,0,
08-16-2016,skida,sk2,2500,1.86,30.4,no,5,70,20,10,47,0,1190,21,318,4,
08-16-2016,skida,sk3,625,0.74,30.2,no,0,55,5,40,0,0,773,33,0,0,
08-16-2016,skida,sk4,625,0.84,29.6,no,0,73,2,25,0,0,546,12,0,0,
08-16-2016,skida,sk5,625,0.81,33.8,no,0,68,2,30,0,0,401,11,0,0,
08-16-2016,skida,sk6,2500,0.89,31,no,0,75,5,20,0,0,1539,27,0,0,
08-16-2016,skida,sk7,2500,0.81,37.3,no,0,50,10,40,0,0,1547,29,0,0,
08-16-2016,skida,sk8,2500,1.45,34.2,no,0,45,10,45,0,0,799,13,0,0,
08-16-2016,skida,sk9,2500,0.6,35.9,no,0,40,15,45,0,0,1377,16,0,0,
08-17-2016,fluxa,t1,2500,1.82,31.2,no,0,65,15,20,0,0,,,0,0,
08-17-2016,fluxa,t2,2500,2.52,25,no,0,60,20,20,0,0,,,0,0,
08-17-2016,fluxa,t3,2500,2.83,31.5,no,0,55,15,30,0,0,,,0,0,
08-17-2016,fluxa,t4,2500,2.38,33.9,no,0,40,20,40,0,0,,,0,0,
08-17-2016,fluxa,t5,2500,1.59,39.3,no,0,45,10,45,0,0,,,0,0,
08-17-2016,fluxa,t6,2500,1.45,38.6,no,0,45,10,45,0,0,,,0,0,
08-17-2016,fluxa,m1,625,1.4,37.4,no,0,35,5,60,0,0,,,0,0,
08-17-2016,fluxa,m2,625,0.86,36,no,0,40,5,55,0,0,,,0,0,
08-17-2016,fluxa,m3,625,0.72,34.3,no,0,50,10,40,0,0,,,0,0,
08-17-2016,fluxa,m4,625,1.06,35.9,no,0,35,5,60,0,0,,,0,0,
08-17-2016,fluxa,m5,625,0.41,40.7,no,0,25,5,70,0,0,,,0,0,
08-17-2016,fluxa,m6,625,0.88,36.3,no,0,40,10,50,0,0,,,0,0,
08-17-2016,fluxa,s1,625,0.72,36,no,0,45,5,50,0,0,,,0,0,
08-17-2016,fluxa,s2,625,0.57,35.3,no,0,40,5,55,0,0,,,0,0,
08-17-2016,fluxa,s3,625,0.71,33.6,no,0,55,10,35,0,0,,,0,0,
08-17-2016,fluxa,s4,625,0.67,24.5,no,0,30,10,60,0,0,,,0,0,
08-17-2016,fluxa,s5,625,0.79,33.6,no,0,35,15,50,0,0,,,0,0,
08-17-2016,fluxa,s6,625,0.32,32.2,no,0,35,10,55,0,0,,,0,0,
08-18-2016,fluxb,fb1,2500,0.58,26.7,no,0,45,5,50,0,1,1047,18,0,0,
08-18-2016,fluxb,fb2,2500,0.31,28.9,no,0,40,5,55,0,2,1218,25,0,0,Aphid-like bugs
08-18-2016,fluxb,fb3,2500,0.39,24.5,no,0,45,10,45,0,1,679,17,0,0,
08-18-2016,fluxb,fb4,2500,0.3,29.6,no,0,35,5,60,0,2,950,25,0,0,
08-18-2016,fluxb,fb5,2500,0.23,31.1,no,0,35,5,60,0,1,1104,29,0,0,
08-18-2016,fluxb,fb6,2500,0.33,31.4,no,0,50,5,45,0,1,790,22,0,0,
08-18-2016,fluxb,fb7,2500,0.78,27.5,no,0,70,5,25,0,0,1187,31,0,0,
08-18-2016,fluxb,fb8,625,0.38,29.3,no,0,40,10,50,0,0,394,12,0,0,
08-18-2016,fluxb,fb9,2500,0.5,23.5,no,0,45,5,50,0,0,1283,31,0,0,
08-19-2016,ugami,ug1,625,0.84,33.7,no,0,69,1,30,0,0,696,26,0,0,
08-19-2016,ugami,ug2,625,1.84,43.2,no,0,70,5,25,0,0,787,17,0,0,
08-19-2016,ugami,ug3,625,1,40.6,yes,0,40,20,40,0,0,274,15,0,0,
08-19-2016,ugami,ug4,625,0.87,27.3,yes,0,20,40,40,0,0,488,21,0,0,
08-19-2016,ugami,ug5,625,1.36,42.2,yes,0,45,5,50,0,2,677,20,0,0,
08-19-2016,ugami,ug6,625,0.8,35.7,"iron precip, green",0,55,5,40,0,0,337,12,0,0,
08-19-2016,ugami,ug7,625,2.15,33.8,"iron precip, green",0,75,10,15,0,0,512,10,0,0,
08-19-2016,ugami,ug8,625,1.71,32.8,no,0,55,15,30,0,0,1131,23,0,0,
08-19-2016,ugami,ug9,625,1.21,34.8,no,0,55,5,40,0,0,640,20,0,0,
09-12-2016,skida,sk1,625,NA,26.3,no,5,45,5,50,0,0,736.5,20,0,0,
09-12-2016,skida,sk2,625,NA,34.6,no,5,40,10,50,0,0,521,8,0,0,
09-12-2016,skida,sk3,625,NA,29.8,yes,5,45,5,50,30,0,469,20,0,0,
09-12-2016,skida,sk4,625,NA,37.7,no,0,20,45,35,0,0,910,18,0,0,
09-12-2016,skida,sk5,625,NA,34.8,no,0,20,35,45,0,0,506.5,9,0,0,
09-12-2016,skida,sk6,625,NA,31.3,no,0,20,20,60,0,0,707.5,11,0,0,
09-12-2016,skida,sk7,2500,NA,36.4,no,0,25,40,35,0,0,1103,19,0,0,
09-12-2016,skida,sk8,2500,NA,38.6,no,0,25,15,60,0,0,1235,20,0,0,
09-12-2016,skida,sk9,2500,NA,41.5,no,0,30,10,60,40,0,1673.5,23,0,0,
09-13-2016,fluxa,t1,2500,NA,38.8,no,0,70,10,20,0,0,,,0,0,
09-13-2016,fluxa,t2,2500,NA,33.2,no,0,75,10,15,0,0,,,0,0,
09-13-2016,fluxa,t3,2500,NA,37.7,no,0,60,10,30,0,0,,,0,0,
09-13-2016,fluxa,t4,2500,NA,35.4,no,0,80,5,15,0,0,,,0,0,
09-13-2016,fluxa,t5,2500,NA,39.2,no,0,55,10,35,0,0,,,0,0,
09-13-2016,fluxa,t6,2500,NA,43.6,no,0,60,5,35,0,0,,,0,0,
09-13-2016,fluxa,m1,625,NA,44,no,0,35,10,55,0,0,,,0,0,
09-13-2016,fluxa,m2,625,NA,39.7,no,0,30,10,60,0,0,,,0,0,
09-13-2016,fluxa,m3,625,NA,40.5,no,0,35,15,50,0,0,,,0,0,
09-13-2016,fluxa,m4,625,NA,41,no,0,20,5,75,0,0,,,0,0,
09-13-2016,fluxa,m5,625,NA,41.5,no,0,30,10,60,0,0,,,0,0,
09-13-2016,fluxa,m6,625,NA,41.7,"iron precip, green",0,20,10,70,0,0,,,0,0,
09-13-2016,fluxa,s1,625,NA,42.4,"iron precip, green",0,40,10,50,0,0,,,0,0,
09-13-2016,fluxa,s2,625,NA,41.9,"iron precip, green",0,35,5,60,0,0,,,0,0,
09-13-2016,fluxa,s3,625,NA,46.1,"iron precip, green",0,30,10,60,0,0,,,0,0,
09-13-2016,fluxa,s4,625,NA,42.3,"iron precip, green",0,15,15,70,0,0,,,0,0,
09-13-2016,fluxa,s5,625,NA,45.6,"iron precip, green",0,30,10,60,0,0,,,0,0,
09-13-2016,fluxa,s6,625,NA,30.6,"iron precip, green",0,15,15,70,0,0,,,0,0,
09-15-2016,fluxb,fb1,625,NA,36.1,no,0,40,1,59,0,15,345,11,0,0,
09-15-2016,fluxb,fb2,625,NA,34.1,no,0,35,5,60,0,13,444,11,0,0,
09-15-2016,fluxb,fb3,625,NA,37.9,no,0,25,15,60,0,13,238.5,7,0,0,
09-15-2016,fluxb,fb4,625,NA,36.8,no,0,20,5,75,0,15,379,10,0,0,
09-15-2016,fluxb,fb5,625,NA,29,no,0,25,5,70,0,13,457,15,0,0,
09-15-2016,fluxb,fb6,625,NA,29.3,no,0,35,5,60,0,10,668,21,0,0,
09-15-2016,fluxb,fb7,625,NA,34.5,no,0,55,10,35,0,2,766,18,0,0,
09-15-2016,fluxb,fb8,625,NA,31.2,no,0,30,20,50,0,3,482,18,0,0,
09-15-2016,fluxb,fb9,625,NA,37.5,no,0,25,10,65,0,2,212,11,0,0,
09-14-2016,ugami,ug1,625,NA,39.9,no,0,50,20,30,0,0.5,521,18,0,0,
09-14-2016,ugami,ug2,625,NA,43.9,no,0,40,10,50,0,0.5,746,16,0,0,
09-14-2016,ugami,ug3,625,NA,62.2,yes,0,50,20,30,0,0.5,633,21,0,0,
09-14-2016,ugami,ug4,625,NA,61.1,yes,0,80,10,10,0,0.5,933,42,0,0,
09-14-2016,ugami,ug5,625,NA,48.7,no,0,20,20,60,0,0.5,286,11,0,0,
09-14-2016,ugami,ug6,625,NA,46.7,no,0,40,30,30,0,0.5,580,21,0,0,
09-14-2016,ugami,ug7,625,NA,54,no,0,70,10,20,0,0.5,794,23,0,0,
09-14-2016,ugami,ug8,625,NA,44.8,no,0,60,10,30,0,0.5,592,21,0,0,
09-14-2016,ugami,ug9,625,NA,45,no,0,30,10,60,0,0.5,510,19,0,0,
10-28-2016,skida,sk1,625,0.99,30.0,no,0,40,1,59,0,2,355,16,0,0,
10-28-2016,skida,sk2,2500,1.45,37.3,no,5,60,5,30,0,0,1941,35,147,2,
10-28-2016,skida,sk3,625,0.67,34.6,no,0,55,2,43,0,0.5,563,25,0,0,
10-28-2016,skida,sk4,625,0.83,35.8,no,0,50,1,49,0,3,568,16,0,0,
10-28-2016,skida,sk5,625,0.75,48.6,no,0,20,2,78,0,1,363,12,0,0,
10-28-2016,skida,sk6,625,0.79,34.4,no,0,25,35,40,0,1,405.5,11,0,0,
10-28-2016,skida,sk7,2500,0.95,40.4,no,0,30,30,40,0,0.5,1737,30,0,0,
10-28-2016,skida,sk8,2500,1.21,35.3,no,0,20,2,78,0,1,872.5,22,0,0,
10-28-2016,skida,sk9,2500,1.03,44.7,no,0,40,20,40,0,0.5,1532,38,0,0,
10-26-2016,fluxa,t1,2500,NA,35.5,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,t2,2500,NA,36.6,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,t3,2500,NA,31.4,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,t4,2500,NA,41,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,t5,2500,NA,28.9,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,t6,2500,NA,46.7,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,m1,625,NA,43,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,m2,625,0.2,32.4,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,m3,625,NA,42.5,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,m4,625,NA,49.8,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,m5,625,NA,36.3,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,m6,625,NA,36.7,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,s1,625,NA,49.3,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,s2,625,NA,47.6,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,s3,625,NA,41.1,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,s4,625,NA,45.4,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,s5,625,NA,52,no,0,,,,0,0,,,0,0,
10-26-2016,fluxa,s6,625,NA,48.3,no,0,,,,0,0,,,0,0,
10-27-2016,fluxb,fb1,2500,0.77,37,no,0,20,1,79,0,10,1425,30,0,0,
10-27-2016,fluxb,fb2,625,0.91,40.2,no,0,15,20,65,0,6,639,13,0,0,
10-27-2016,fluxb,fb3,625,0.93,44.2,no,0,30,15,55,0,9,287,9,0,0,
10-27-2016,fluxb,fb4,625,0.66,36.2,no,0,10,30,60,0,10,305,11,0,0,
10-27-2016,fluxb,fb5,625,0.77,45.4,no,0,25,5,70,0,9,534,15,0,0,
10-27-2016,fluxb,fb6,625,0.9,41.5,no,0,10,30,60,0,4,300.5,9,0,0,
10-27-2016,fluxb,fb7,2500,1.77,39.3,no,0,40,40,20,0,2,1498,29,0,0,
10-27-2016,fluxb,fb8,625,0.7,34,no,0,10,5,85,0,1.5,182.5,7,0,0,
10-27-2016,fluxb,fb9,625,0.77,47.9,no,0,30,20,50,0,1,172,8,0,0,
10-29-2016,ugami,ug1,625,0.52,41.5,no,0,60,1,39,0,15,667,17,0,0,
10-29-2016,ugami,ug2,625,2.52,36.6,no,0,50,10,40,0,6.5,1025,27,0,0,
10-29-2016,ugami,ug3,625,0.73,47.4,yes,0,40,10,50,0,2,505,19,0,0,
10-29-2016,ugami,ug4,625,1.39,47.4,no,0,25,20,55,0,4,512,20,0,0,
10-29-2016,ugami,ug5,625,1.19,48.6,no,0,25,10,65,0,0.5,657,20,0,0,
10-29-2016,ugami,ug6,625,1.95,47.2,no,0,30,5,65,0,0.25,597,19,0,0,
10-29-2016,ugami,ug7,625,1.63,49.9,no,0,40,5,55,0,0,835,17,0,0,mussel mound
10-29-2016,ugami,ug8,625,2.16,44.2,"iron precip, green",0,30,15,55,0,0.5,501,13,0,0,
10-29-2016,ugami,ug9,625,1.6,44.9,no,0,55,5,40,0,0,651,18,0,0,
